구분별(1),구분별(2),2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022
구분별(1),구분별(2),스마트폰,스마트폰,스마트폰,스마트폰,키즈폰,키즈폰,키즈폰,스마트폰,스마트폰,스마트폰,스마트폰,키즈폰,키즈폰,키즈폰
구분별(1),구분별(2),사례수 (명),없음 (%),1대 (%),2대 이상 (%),사례수 (명),없음 (%),1대 (%),사례수 (명),없음 (%),1대 (%),2대 이상 (%),사례수 (명),없음 (%),1대 (%)
전체,소계,10154,7.2,92.6,0.2,10154,99.7,0.3,9941,5.8,94,0.1,9941,99.8,0.2
성별,남,5061.2,5.5,94.3,0.2,5061.2,99.8,0.2,4937.6,4.3,95.5,0.2,4937.6,99.8,0.2
성별,여,5092.8,8.9,90.9,0.2,5092.8,99.7,0.3,5003.4,7.3,92.5,0.1,5003.4,99.8,0.2
연령,만10대미만,226.1,51.9,48.1,0,226.1,88.7,11.3,173.2,42.2,57.8,0,173.2,94.9,5.1
연령,만10-19세,962.7,4.1,95.9,0,962.7,100,0,958.5,5.4,94.6,0,958.5,98.9,1.1
연령,만20-29세,1411.4,0.2,99.7,0.1,1411.4,100,0,1335.1,0.2,99.7,0.1,1335.1,100,0
연령,만30-39세,1441.2,0,99.8,0.1,1441.2,100,0,1345,0,99.7,0.2,1345,100,0
연령,만40-49세,1694,0.8,98.2,1,1694,100,0,1652,0.5,99.2,0.3,1652,100,0
연령,만50-59세,1788,0.3,99.6,0.1,1788,100,0,1764.2,0.4,99.4,0.3,1764.2,100,0
연령,만60-69세,1453.5,5.9,94.1,0,1453.5,100,0,1485.6,3.5,96.5,0,1485.6,100,0
연령,만70세이상,1177.2,39.6,60.4,0,1177.2,100,0,1227.5,31.4,68.6,0,1227.5,100,0
월평균소득,소득없음,3215.6,10.1,89.7,0.2,3215.6,99.2,0.8,3030.1,8.4,91.6,0,3030.1,99.4,0.6
월평균소득,50만원미만,521.6,41,59,0,521.6,100,0,471.4,33.1,66.9,0,471.4,100,0
월평균소득,50-100만원미만,574.2,20.9,79.1,0,574.2,100,0,624.4,18.6,81.4,0,624.4,100,0
월평균소득,100-200만원미만,1428.7,4,95.9,0.2,1428.7,100,0,1241.7,3.1,96.6,0.3,1241.7,100,0
월평균소득,200-300만원미만,2340.9,0.8,99.2,0.1,2340.9,100,0,2307.5,0.6,99.2,0.2,2307.5,100,0
월평균소득,300-400만원미만,1386.7,0,99.7,0.3,1386.7,100,0,1546.7,0,99.8,0.2,1546.7,100,0
월평균소득,400-500만원미만,386.4,0.1,99.8,0.1,386.4,100,0,423.8,0,99.8,0.2,423.8,100,0
월평균소득,500만원이상,299.8,0,97.7,2.3,299.8,100,0,295.4,0.8,98.3,0.9,295.4,100,0
학력1,미취학,27,100,0,0,27,100,0,12.9,92.3,7.7,0,12.9,100,0
학력1,초졸이하,1393.6,36.4,63.6,0,1393.6,98.2,1.8,1317,31.1,68.9,0,1317,98.5,1.5
학력1,중졸이하,967,11.3,88.7,0,967,100,0,941.2,10,90,0,941.2,100,0
학력1,고졸이하,3270.1,2.5,97.3,0.2,3270.1,100,0,3194.5,1.6,98.3,0.1,3194.5,100,0
학력1,대졸이하,4341.9,0.2,99.5,0.3,4341.9,100,0,4323.3,0.3,99.5,0.3,4323.3,100,0
학력1,대학원재학이상,154.4,0,99.4,0.6,154.4,100,0,152.1,0.1,99.9,0,152.1,100,0
