윤 대통령 '괴담' 강조할 때- 일본서 '오염수 반대' 외친 시민들,9,https://n.news.naver.com/mnews/article/047/0002401036?sid=102
여야 수해대책 TF "도시침수법 등 다음 달 합의 처리",8,https://n.news.naver.com/mnews/article/052/0001917045?sid=100
국방부- 북러 무기 거래 정황 "불법 거래 즉각 중단해야",8,https://n.news.naver.com/mnews/article/055/0001077629?sid=100
中 넉달 연속 경기수축 국면...7월 제조업 PMI 49.3,7,https://n.news.naver.com/mnews/article/052/0001917024?sid=104
파키스탄 이슬람 지도자 모임서 폭탄 테러…35명 이상 사망 추정,8,https://n.news.naver.com/mnews/article/032/0003239552?sid=104
포스코퓨처엠- 한동대와 포항 2차전지 인재양성 업무협약 체결,6,https://n.news.naver.com/mnews/article/138/0002153464?sid=105
전국 미분양 4개월째 감소…서울 아파트 거래 4000건대 회복,7,https://n.news.naver.com/mnews/article/015/0004874269?sid=101
청년도약계좌 첫 가입기간- 최종 25.3만명 가입했다,5,https://n.news.naver.com/mnews/article/011/0004220816?sid=101
GS25- 삼성과 손잡았다…플래그십 도어투성수에 갤럭시 스튜디오,5,https://n.news.naver.com/mnews/article/001/0014100821?sid=101
"네이버 미래는 디지털 로봇…스마트시티 선도할 것",5,https://n.news.naver.com/mnews/article/015/0004874080?sid=105
“예쁜 딸- 많이 아팠구나” 서초구 교사 아버지의 자필 편지,8,https://n.news.naver.com/mnews/article/028/0002650386?sid=102
대구시·신천지 1-000억 원대 코로나19 소송서 '화해',5,https://n.news.naver.com/mnews/article/057/0001759682?sid=102
주호민 향한 특수교사의 울분 "한 사람 파멸시켜서 얻는 게 뭐냐",9,https://n.news.naver.com/mnews/article/082/0001224712?sid=102
일본 오키나와로 대형 대풍 '카눈' 접근…수도권은 불볕더위,6,https://n.news.naver.com/mnews/article/055/0001077711?sid=104
KG모빌리티- 토레스 전기차 ‘EVX’ 9월 출시,5,https://n.news.naver.com/mnews/article/022/0003839758?sid=101
